chapter,mission,targetScore1,targetScore2,targetScore3,empathy,passion,stamina,wisdom,cardRestrictions,cardBonuses
2,2,11176,12178,13180,10,30,200,170,"V,ALL|V,ALL",
2,4,11411,12431,13451,30,200,170,10,"V,ALL|V,ALL",
2,6,11644,12682,13720,200,10,170,30,"V,ALL|V,ALL",
2,8,11878,12934,13990,10,170,30,200,"V,ALL|V,ALL",
2,10,12111,13185,14259,10,30,200,170,"V,ALL|V,ALL",
3,1,19626,21443,23260,180,20,200,20,"V,ALL|V,ALL|V,ALL",
3,5,20286,22163,24041,200,180,20,20,"V,ALL|V,ALL|V,ALL",
3,7,20643,22551,24459,20,200,20,180,"V,ALL|V,ALL|V,ALL",
3,9,21000,22938,24876,200,180,20,20,"V,ALL|V,ALL|V,ALL",
3,11,21357,23325,25293,20,20,180,200,"V,ALL|V,ALL|V,ALL",
4,2,22673,24771,26870,180,20,200,10,"V,ALL|V,ALL|V,ALL",
4,4,23047,25177,27307,180,20,10,200,"V,ALL|V,ALL|V,ALL",
4,6,23419,25582,27744,10,20,200,180,"V,ALL|V,ALL|V,ALL",
4,8,23792,25987,28181,10,200,180,20,"V,ALL|V,ALL|V,ALL",
4,10,24165,26391,28618,20,180,10,200,"V,ALL|V,ALL|V,ALL",
5,1,34998,38298,41597,200,10,200,10,"V,ALL|V,ALL|V,ALL|V,ALL",
5,5,35994,39388,42781,200,10,10,200,"V,ALL|V,ALL|V,ALL|V,ALL",
5,7,36519,39960,43401,10,200,200,10,"V,ALL|V,ALL|V,ALL|V,ALL",
5,9,37044,40531,44019,10,10,200,200,"V,ALL|V,ALL|V,ALL|V,ALL",
5,11,37569,41104,44639,10,200,10,200,"V,ALL|V,ALL|V,ALL|V,ALL",
6,2,40894,44753,48612,200,200,5,20,"V,ALL|V,ALL|V,ALL|V,ALL",
6,5,41714,45650,49585,5,200,20,200,"V,ALL|V,ALL|V,ALL|V,ALL",
6,7,42279,46266,50252,200,20,5,200,"V,ALL|V,ALL|V,ALL|V,ALL",
6,9,42844,46882,50919,200,200,20,5,"V,ALL|V,ALL|V,ALL|V,ALL",
6,11,43410,47499,51587,200,5,200,20,"V,ALL|V,ALL|V,ALL|V,ALL",
1,2,2554,2763,2972,30,200,30,150,"Jungkook,ALL",
1,4,3153,3411,3670,150,30,30,200,"Jungkook,ALL",
1,6,3752,4060,4367,30,150,200,30,"Jungkook,ALL",
1,9,4391,4752,5113,200,30,150,30,"Jungkook,ALL",
1,11,5203,5613,6023,30,200,30,150,"Jungkook,ALL",
2,3,11267,12278,13289,30,10,170,200,"Jungkook,ALL|Jungkook,ALL",
2,5,11501,12530,13559,170,200,10,30,"Jungkook,ALL|Jungkook,ALL",
2,8,11825,12881,13937,10,170,30,200,"Jungkook,ALL|Jungkook,ALL",
2,10,12058,13132,14206,200,30,10,170,"Jungkook,ALL|Jungkook,ALL",
2,12,12291,13384,14476,30,170,200,10,"Jungkook,ALL|Jungkook,ALL",
3,2,19777,21609,23441,20,20,200,180,"Jungkook,ALL|Jungkook,ALL|Jungkook,ALL",
3,4,20135,21997,23859,200,180,20,20,"Jungkook,ALL|Jungkook,ALL|Jungkook,ALL",
3,7,20643,22551,24459,20,200,20,180,"Jungkook,ALL|Jungkook,ALL|Jungkook,ALL",
3,9,21000,22938,24876,200,180,20,20,"Jungkook,ALL|Jungkook,ALL|Jungkook,ALL",
3,11,21357,23325,25293,180,20,200,20,"Jungkook,ALL|Jungkook,ALL|Jungkook,ALL",
4,1,22513,24595,26678,10,200,20,180,"Jungkook,ALL|Jungkook,ALL|Jungkook,ALL",
4,3,22887,25001,27115,200,20,10,180,"Jungkook,ALL|Jungkook,ALL|Jungkook,ALL",
4,6,23419,25582,27744,20,10,180,200,"Jungkook,ALL|Jungkook,ALL|Jungkook,ALL",
4,8,23792,25987,28181,180,20,200,10,"Jungkook,ALL|Jungkook,ALL|Jungkook,ALL",
4,11,24325,26567,28809,180,200,10,20,"Jungkook,ALL|Jungkook,ALL|Jungkook,ALL",
5,1,34998,38298,41597,10,200,200,10,"Jungkook,ALL|Jungkook,ALL|Jungkook,ALL|Jungkook,ALL",
5,4,35759,39129,42499,200,10,200,10,"Jungkook,ALL|Jungkook,ALL|Jungkook,ALL|Jungkook,ALL",
5,7,36519,39960,43401,200,200,10,10,"Jungkook,ALL|Jungkook,ALL|Jungkook,ALL|Jungkook,ALL",
5,9,37044,40531,44019,10,10,200,200,"Jungkook,ALL|Jungkook,ALL|Jungkook,ALL|Jungkook,ALL",
5,11,37569,41104,44639,10,200,10,200,"Jungkook,ALL|Jungkook,ALL|Jungkook,ALL|Jungkook,ALL",
6,1,40639,44473,48306,200,20,200,5,"Jungkook,ALL|Jungkook,ALL|Jungkook,ALL|Jungkook,ALL",
6,3,41204,45089,48973,5,200,200,20,"Jungkook,ALL|Jungkook,ALL|Jungkook,ALL|Jungkook,ALL",
6,5,41769,45705,49640,20,5,200,200,"Jungkook,ALL|Jungkook,ALL|Jungkook,ALL|Jungkook,ALL",
6,9,42844,46882,50919,200,20,5,200,"Jungkook,ALL|Jungkook,ALL|Jungkook,ALL|Jungkook,ALL",
6,11,43410,47499,51587,200,5,200,20,"Jungkook,ALL|Jungkook,ALL|Jungkook,ALL|Jungkook,ALL",
