chapter,mission,targetScore1,targetScore2,targetScore3,empathy,passion,stamina,wisdom,cardRestrictions,cardBonuses
3,17,16077,18477,19665,150,180,80,50,"ALL,ALL|ALL,ALL|ALL,ALL",
3,19,16395,18645,19845,50,150,180,80,"ALL,ALL|ALL,ALL|ALL,ALL",
4,1,17739,18576,19926,50,200,150,50,"ALL,ALL|ALL,ALL|ALL,ALL",
4,2,17916,18915,20250,200,50,50,150,"ALL,ALL|ALL,ALL|ALL,ALL",
4,4,18252,19251,20589,50,150,50,200,"ALL,ALL|ALL,ALL|ALL,ALL",
4,5,18591,19590,21102,50,150,200,50,"ALL,ALL|ALL,ALL|ALL,ALL",
4,6,18753,19767,22857,50,150,50,200,"ALL,ALL|ALL,ALL|ALL,ALL",
4,8,19092,20103,23034,200,50,150,50,"ALL,ALL|ALL,ALL|ALL,ALL",
4,10,19602,20601,23571,50,200,50,150,"ALL,ALL|ALL,ALL|ALL,ALL",
4,11,19764,20940,23760,150,50,200,50,"ALL,ALL|ALL,ALL|ALL,ALL",
4,12,19941,21276,24126,50,150,50,200,"ALL,ALL|ALL,ALL|ALL,ALL",
4,14,20454,23208,24492,50,50,150,200,"ALL,ALL|ALL,ALL|ALL,ALL",
4,16,20778,23385,24666,200,150,50,50,"ALL,ALL|ALL,ALL|ALL,ALL",
4,18,21117,23748,25044,150,50,50,200,"ALL,ALL|ALL,ALL|ALL,ALL",
4,20,21627,24111,25395,50,200,150,50,"ALL,ALL|ALL,ALL|ALL,ALL",
5,1,31176,32636,34344,200,30,70,150,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
5,2,31648,33124,35084,150,200,30,70,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
5,4,32132,33356,35572,150,70,200,30,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
5,5,32616,34092,36036,30,150,70,200,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
5,7,33104,34328,36288,200,30,150,70,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
5,8,33592,35048,41116,30,70,200,150,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
5,9,33824,35552,41384,150,30,70,200,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
5,11,34560,36272,42156,70,200,30,150,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
5,12,34796,36504,42428,30,150,200,70,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
5,14,35516,36992,43204,200,70,150,30,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
5,16,36020,41584,43472,70,30,150,200,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
5,18,36740,42084,43976,150,200,30,70,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
5,19,36972,42624,44516,30,150,70,200,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
5,20,37460,43132,45020,70,30,200,150,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
6,1,42284,43904,45792,200,50,150,50,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
6,2,42788,44408,46300,150,50,50,200,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
6,4,43560,44912,47072,50,200,150,50,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
6,5,44068,45688,47576,150,50,200,50,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
6,7,44840,46188,48080,200,50,50,150,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
6,8,45344,46964,54148,150,200,50,50,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
6,9,45848,47468,54972,150,50,200,50,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
6,11,46624,48244,55804,50,150,50,200,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
6,12,47124,48744,56936,50,200,50,150,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
6,14,47900,49252,57764,50,50,200,150,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
6,15,48404,55316,58592,200,50,150,50,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
6,17,49180,56144,59420,150,200,50,50,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
6,18,49448,56740,60032,150,50,200,50,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
6,19,49720,57640,60628,50,150,50,200,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
7,2,60210,60640,61315,220,180,30,20,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
7,3,60415,61090,61515,20,180,30,220,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
7,4,60935,61610,62260,180,20,30,220,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
7,6,61385,61810,62485,220,30,20,180,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
7,7,61610,62260,62915,20,220,30,180,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
7,8,62100,62775,63430,30,20,180,220,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
7,10,62550,63205,63655,20,30,220,180,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
7,11,62775,63430,64105,180,220,20,30,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
7,13,63205,63655,64530,30,20,180,220,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
7,14,63725,64400,69845,180,30,220,20,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
7,15,63950,64825,70090,20,180,220,30,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
7,17,64400,69845,70315,30,180,220,20,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
7,19,65115,70380,71100,220,20,180,30,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
8,2,90507,90948,93152,100,265,90,225,"Suga,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
8,3,87653,88423,96207,225,255,80,50,"Jimin,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
8,5,71979,80040,81078,20,245,195,50,"ALL,empathy|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
8,7,81310,81708,83695,185,30,235,70,"RM,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
8,8,78527,80038,82777,145,70,60,235,"ALL,wisdom|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
8,10,80660,90223,92411,100,100,185,225,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
8,12,68112,72750,73116,90,155,70,185,"ALL,wisdom|ALL,passion|ALL,ALL|ALL,ALL|ALL,ALL",
8,14,58621,61479,64337,165,110,125,20,"Jin,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
8,15,52014,54552,55590,155,50,40,115,"V,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
8,17,46333,46559,49359,30,105,145,30,"ALL,stamina|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
8,18,42471,42637,46611,95,30,50,135,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
8,19,44973,45661,47849,80,10,135,125,"Suga,wisdom|Jungkook,wisdom|ALL,ALL|ALL,ALL|ALL,ALL",
9,2,66175,67910,77229,50,200,220,30,"Jimin,ALL|ALL,empathy|ALL,ALL|ALL,ALL|ALL,ALL",
9,4,77425,79229,82131,95,110,95,220,"Suga,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
9,5,70825,72525,74057,195,55,85,155,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
9,7,56245,57633,63414,200,30,130,40,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
9,8,58190,59578,64609,30,140,30,200,"ALL,stamina|Jin,wisdom|ALL,ALL|ALL,ALL|ALL,ALL",
9,9,73190,74821,76293,60,220,135,55,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
9,11,52530,53987,66196,30,200,30,160,"ALL,passion|ALL,stamina|ALL,ALL|ALL,ALL|ALL,ALL",
9,12,66505,67997,69307,170,30,200,30,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
9,14,70595,72261,76470,155,55,55,215,"ALL,passion|Suga,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
9,15,70690,72252,73259,200,190,30,30,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
9,17,72625,74256,77615,200,210,30,30,"ALL,passion|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
9,18,117290,120292,124299,210,330,230,95,"J-Hope,stamina|ALL,wisdom|ALL,ALL|ALL,ALL|ALL,ALL",
9,19,87385,89398,91575,250,90,190,50,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
10,2,60700,62756,64869,55,125,110,150,"ALL,stamina|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
10,3,55324,57513,59506,55,180,150,95,"ALL,wisdom|ALL,ALL|ALL,ALL|ALL,ALL",
10,5,64836,67136,69040,210,65,165,85,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
10,6,92569,94267,95977,180,90,90,250,"Jin,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
10,8,56404,57066,59608,100,125,195,50,"ALL,passion|Jimin,ALL|ALL,ALL|ALL,ALL",
10,9,77746,79890,81154,30,180,220,55,"Suga,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
10,11,80545,83518,86640,260,90,30,150,"V,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
10,13,59097,61527,64450,130,250,35,30,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
10,14,47279,49919,50921,60,150,95,115,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
10,16,69531,72770,73817,200,50,110,90,"Suga,ALL|V,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
10,17,75426,77381,79037,80,210,150,50,"ALL,passion|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
10,19,86400,88949,91384,195,75,35,255,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
11,3,56962,58676,59998,50,150,80,110,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
11,4,66498,68801,70923,140,85,85,150,"Jungkook,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
11,7,77539,79020,81000,120,170,110,150,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
11,8,54680,55781,57793,65,115,170,95,"Suga,stamina|ALL,ALL|ALL,ALL|ALL,ALL",
11,11,61096,62540,64340,155,50,190,85,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
11,12,74095,76042,77664,215,50,40,155,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
11,15,55592,57060,59146,215,105,50,30,"RM,empathy|ALL,ALL|ALL,ALL|ALL,ALL",
11,16,50996,51691,53665,10,20,125,205,"ALL,stamina|ALL,ALL|ALL,ALL|ALL,ALL",
11,19,54411,55718,57140,115,30,225,10,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
11,20,82697,84963,88085,155,65,65,235,"Jin,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
11,23,87985,88524,90401,70,195,45,240,"V,ALL|ALL,passion|ALL,ALL|ALL,ALL|ALL,ALL",
11,24,68382,71178,72300,255,35,130,90,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
11,27,102775,107960,110195,45,265,250,80,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
12,2,56900,57980,59565,120,100,90,90,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
12,4,66481,67519,69039,100,150,90,125,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
12,6,72005,73070,74765,100,90,115,175,"Jungkook,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
12,8,62290,63197,65083,177,90,144,90,"Jin,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
12,9,69560,70900,71936,180,90,90,200,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
12,12,73395,74411,76115,40,180,85,170,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
12,13,77259,78977,83541,210,285,55,15,"ALL,empathy|ALL,ALL|ALL,ALL|ALL,ALL",
12,16,57590,58299,59869,115,55,90,185,"ALL,empathy|ALL,ALL|ALL,ALL|ALL,ALL",
12,17,67099,68195,70204,90,177,188,90,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
12,20,91360,93326,95801,199,90,90,211,"ALL,wisdom|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
12,21,62520,63698,66040,41,51,188,90,"ALL,wisdom|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
12,23,64828,66033,68261,200,75,125,110,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
12,26,91170,92976,95861,210,55,35,235,"J-Hope,ALL|ALL,empathy|ALL,ALL|ALL,ALL|ALL,ALL",
12,27,82145,85228,90385,255,110,90,15,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
13,2,134595,138985,141739,35,335,355,51,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
13,5,133555,142433,145741,333,35,82,335,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
13,7,160299,168314,176518,29,415,84,411,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
13,9,126000,130063,135085,388,50,59,385,"Jin,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
13,11,87888,93403,95403,15,5,299,269,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
13,13,75273,80087,81769,33,198,10,199,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
13,15,154801,161443,170113,422,400,50,5,"ALL,passion|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
13,17,74295,75700,76132,99,315,255,13,"ALL,stamina|ALL,ALL|ALL,ALL",
13,19,95100,99073,102775,300,10,15,310,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
13,20,187121,198577,204066,90,485,80,475,"V,ALL|Jungkook,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
13,23,183408,197223,200902,450,45,499,35,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
13,24,105899,110505,112805,357,333,15,5,"J-Hope,ALL|RM,ALL|ALL,ALL|ALL,ALL",
13,27,140599,147609,151610,350,45,77,350,"V,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
14,2,155144,158696,163311,35,335,450,51,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
14,4,137532,142164,148469,150,412,82,141,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
14,5,137372,143015,148388,29,230,84,411,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
14,7,95992,98889,101822,115,50,41,388,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
14,9,109850,113136,117224,55,25,333,169,"Jin,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
14,10,122974,126674,131495,85,99,410,41,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
14,13,135234,139739,143620,66,333,345,19,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
14,14,134979,139072,145402,14,430,45,444,"V,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
14,16,66959,68168,70319,95,15,95,250,"Jungkook,ALL|ALL,empathy|ALL,ALL|ALL,ALL",
14,18,78470,80397,82742,350,15,15,100,"ALL,wisdom|ALL,ALL|ALL,ALL|ALL,ALL",
14,19,135436,138996,143481,411,155,90,82,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
14,22,112916,115249,120297,377,88,70,29,"RM,ALL|J-Hope,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
14,23,124549,127539,130549,90,510,457,70,"ALL,stamina|ALL,ALL|ALL,ALL",
15,3,166335,171874,178861,410,88,95,355,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
15,4,126759,130292,133088,155,100,58,355,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
15,7,125970,129503,132574,298,155,387,34,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
15,8,134999,139792,148135,59,345,332,10,"RM,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
15,10,91088,94621,97066,33,35,327,181,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
15,12,117728,120261,122748,178,57,111,299,"J-Hope,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
15,15,143175,149208,151636,451,208,23,5,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
15,16,116924,120457,123836,99,363,150,225,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
15,19,108807,110340,114012,300,77,31,316,"ALL,empathy|ALL,ALL|ALL,ALL|ALL,ALL",
15,20,108983,112016,114331,275,200,85,54,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
15,23,120590,123620,128751,15,37,356,199,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
15,24,130978,133608,140391,38,384,402,45,"V,ALL|ALL,passion|ALL,ALL|ALL,ALL",
15,27,144987,149017,157879,66,452,25,211,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
16,3,116040,118361,119401,57,304,38,355,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
16,4,100888,102906,105728,357,2,58,3,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
16,5,152511,155561,159309,44,111,448,396,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
16,8,158799,162930,172255,19,449,332,10,"Suga,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
16,9,129735,132330,137924,46,35,88,541,"Jin,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
16,11,135200,137190,140065,1,57,227,499,"V,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
16,13,179473,183062,187586,721,208,23,19,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
16,14,195455,199364,205985,88,363,669,101,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
16,17,104531,107125,109197,181,77,31,388,"ALL,passion|Jimin,ALL|ALL,ALL|ALL,ALL",
16,18,104222,106306,110130,109,308,44,59,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
16,21,261882,267120,279904,7,599,77,477,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
16,24,194441,198330,202920,473,103,102,583,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
16,25,151259,152378,159113,65,452,25,211,"J-Hope,ALL|RM,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
16,27,194569,198460,203293,259,15,588,49,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
17,3,184500,188190,194574,3,791,7,112,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
17,4,230900,235518,244186,94,23,34,791,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
17,7,132700,135354,139028,448,44,231,85,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
17,8,181800,185436,191762,46,92,586,78,"Jin,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
17,11,139400,142188,147896,19,10,312,479,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
17,12,176000,181000,186435,222,501,57,78,"Suga,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
17,15,157400,160548,168740,541,357,23,19,"RM,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
17,16,202100,205100,209260,98,3,721,321,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
17,19,112600,115200,117426,398,14,221,56,"Jimin,stamina|ALL,ALL|ALL,ALL|ALL,ALL",
17,20,256000,263000,273271,346,612,64,32,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
17,23,256400,261528,272133,7,477,714,52,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
17,24,227900,234400,239856,43,28,243,473,"J-Hope,ALL|V,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
17,26,229200,236200,247605,25,643,65,402,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
18,3,308500,318681,329677,10,139,386,733,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
18,4,329500,340374,353672,719,511,19,150,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
18,7,185100,191408,202590,403,159,452,1,"Jungkook,stamina|Jungkook,stamina|ALL,ALL|ALL,ALL|ALL,ALL",
18,8,234900,240788,245248,50,224,734,35,"Jimin,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
18,11,95900,97914,103564,85,101,99,327,"V,ALL|V,ALL|ALL,ALL|ALL,ALL",
18,12,167190,170608,173441,438,119,66,211,"Suga,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
18,14,168500,170211,171447,3,472,150,447,"J-Hope,wisdom|ALL,ALL|ALL,ALL|ALL,ALL",
18,16,117424,119990,122314,105,419,85,55,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
18,17,229200,233883,236710,351,16,682,405,"ALL,wisdom|ALL,ALL|ALL,ALL|ALL,ALL",
18,20,216650,223799,234134,23,499,35,530,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
18,23,183900,186720,190682,419,21,153,153,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
18,24,170304,175543,181064,739,87,21,9,"Suga,ALL|Suga,ALL|Jimin,ALL|ALL,ALL",
18,26,247991,256175,263178,1,51,642,511,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
19,3,188000,191072,195417,472,31,318,108,"V,ALL|Jungkook,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
19,4,308000,318164,329974,22,701,35,495,"Jin,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
19,7,167500,171018,174943,99,88,11,519,"Jungkook,ALL|Jungkook,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
19,8,108500,110579,112700,7,13,351,59,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
19,11,310000,314549,326532,4,559,656,59,"J-Hope,ALL|J-Hope,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
19,12,136900,139775,144530,448,70,35,11,"Suga,ALL|Suga,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
19,15,295200,297711,301900,102,667,351,55,"Jin,ALL|ALL,stamina|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
19,16,197517,202168,205473,15,58,5,559,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
19,18,132000,134772,136344,118,304,1,89,"Jimin,ALL|Jimin,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
19,20,254385,259727,268660,421,47,522,47,"ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
19,23,419530,423044,438170,33,389,333,779,"RM,ALL|Jungkook,ALL|Jungkook,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
19,24,362000,366000,372726,368,629,320,2,"RM,ALL|Jungkook,ALL|V,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
19,26,242000,247082,253240,503,211,261,54,"Suga,ALL|Suga,ALL|ALL,ALL|ALL,ALL|ALL,ALL|ALL,ALL",
