id,member,contextStrings,affinity1,dialogKey1,affinity2,dialogKey2,affinity3,dialogKey3,dialogString1,dialogString2,dialogString3
14021624-2,Suga,"[""VI'll do my best to represent the country!#HwagwanCulturalAward #TodaysBTS #AwardBoys""]",140,SNS_M_Suga_144_02_01,168,SNS_M_Suga_144_03_01,112,SNS_M_Suga_144_04_01,I'll do my best too!,Congrats!,We're having a party tonight!
14030304-9,J-Hope,"[""NA extremely successful surprise!!! #Happy #SurpriseParty #BestMaknae #WhosNext"",""@Yunki Mr. Min Always Nice Guy""]",140,SNS_M_J-hope_22_01_09,140,SNS_M_J-hope_22_01_13,0,0,It was the perfect party!,Are you sure he was surprised?,
14031012-2,J-Hope,"[""_1st place on the new year special Idol Track Championships! Everyone seriously ran their best!!""]",140,SNS_M_J-hope_92_02_01,112,SNS_M_J-hope_92_03_01,168,SNS_M_J-hope_92_04_01,I was cheering!,It was difficult...,Time for dinner
14031108-2,J-Hope,"[""I've been chosen to be the star of our intro <color=#42b7fe>Boy Meets Evil</color>!!! I expect the busy days to start tomorrow but I'm gonna try my very best so I don't have regrets like I always do!!! I'm determined!!!#HopeNight""]",140,SNS_M_J-hope_97_02_01,168,SNS_M_J-hope_97_03_01,140,SNS_M_J-hope_97_04_01,Even the title sounds deadly...,*The choreography for this song is craaazy!,Trustworthy Dance Captain Jeong!
14031212-6,J-Hope,"[""BTa-da! Now revealing... young dreamer Jeong Hoseok's notebook!!!!!"",""5@Hoseok oh I'm sry... I'll reflect on myself... TT""]",168,SNS_M_J-hope_108_02_01,112,SNS_M_J-hope_108_03_01,140,SNS_M_J-hope_108_04_01,So cool,Was it homework?,Same as always
14031412-2,J-Hope,"[""3Our meeting is?? @_@/#DNA_MV_Filming_Over #SoCool""]",168,SNS_M_J-hope_125_02_01,112,SNS_M_J-hope_125_03_01,140,SNS_M_J-hope_125_04_01,Like a mathematical formula,Like religious commandments,Like the laws of the universe!
14040209-2,RM,"[""<color=#42b7fe>Born to be</color> spotless. Let's clean up after ourselves, guys.#Clean #SoAmazing #NamjunStyle #EnjoyingLife""]",168,SNS_M_RM_15_01_02,140,SNS_M_RM_15_01_06,112,SNS_M_RM_15_01_09,Did you clean the dorm?,+Let's make a regular habit out of cleaning!,"*I heard you were the messiest one, Namjun!"
14040707-2,RM,"[""Our long awaited N.O. comeback performance! I'm so glad that we powered through to the end T_T<color=#3a72bd>#WeRoll</color> #OurMembers #WorkedSoHard""]",140,SNS_M_RM_57_02_01,168,SNS_M_RM_57_03_01,112,SNS_M_RM_57_04_01,Congrats on the comeback!,This is only the beginning!,T_______T
14041004-2,RM,"[""I went to the green room to find Jeongguk after the cool rap performance he was recruited for... And I found him, eating tuna out of the can with a spoon. I'm in shock right now""]",140,SNS_M_RM_87_02_01,168,SNS_M_RM_87_03_01,112,SNS_M_RM_87_04_01,That wasn't yogurt?,#Did you tell him he did a good job?,He knows food
14041009-2,RM,"[""I'm home 3 days early and I'm ashamed. Have fun in northern Europe without me. Everyone. What matters most when you travel overseas is not money, not your fashion sense, and not your selfie stick. It's...#Passport #LostItemBoys #OnThePlaneBackToKorea #KimLostPassport""]",112,SNS_M_RM_91_02_01,140,SNS_M_RM_91_03_01,168,SNS_M_RM_91_04_01,I want to find your passport...,Let's forget about it,Wonder where it is
14041122-5,RM,"[""[<color=#42b7fe>First Love</color> Incident Observation Log]Who? Yunki hyung to Hobi, Jimin, JeonggukWhen? While writing solo track lyricsWhere? Dorm and site of shootWhat? Solo track lyricsHow? Failed to be clear about the subject of the lyricsWhy? For funReview: Was he convincing enough to fool everyone, or were we all just easily fooled? That's what I would like to know."",""DI completely fell for it... If I can't trust him, who can I trust...""]",168,SNS_M_RM_102_02_01,112,SNS_M_RM_102_03_01,140,SNS_M_RM_102_04_01,%He did a great job fooling you all...,'I can't believe everyone fell for it...,It was funny
14041506-2,RM,"[""aRed Bean Bread Man gave me a gift too thank you#ButWhoAreYou #AreMInvestigationDiaryIsntOverYet""]",168,SNS_M_RM_130_02_01,112,SNS_M_RM_130_03_01,140,SNS_M_RM_130_04_01,What's the gift?,I know who it is,I applaud your tenacity
14050309-2,Jimin,"[""SThe lunchbox Taehyung made for me hehehehe Thanks so much heartheart #JIMIN #TaeTae""]",140,SNS_M_Jimin_25_01_02,112,SNS_M_Jimin_25_01_05,168,SNS_M_Jimin_25_01_08,"No more shakes, right?",Was it really good?,9It's so nice to see the two of you getting along so well!
14050506-2,Jimin,"[""]My face has gotten sweeter hehehe #JIMIN #Thankyou_Manager #KimTaehyung_Imgonnagteyouback""]",112,SNS_M_Jimin_37_01_02,140,SNS_M_Jimin_37_01_05,168,SNS_M_Jimin_37_01_11,0I can't believe you threw me a surprise party...,'The fresh cream made your face sweeter?,I'm more thankful!
14050713-5,Jimin,"[""We had a snowball fight to celebrate the season's first snow!Played so hard that we're all snowmen@SeokJin @Yunki @Hoseok @Namjun @Taehyung @Jeongguk#JeonggukisScary #SaveMe #JIMIN"",""=@SeokJin Loooool I saw a different side of Yunki hyung today!""]",168,SNS_M_Jimin_61_02_01,140,SNS_M_Jimin_61_03_01,112,SNS_M_Jimin_61_04_01,It was great!,I'm looking for the culprit!,+I never want to have another snowball fight
14050916-5,Jimin,"[""VI've been staring into my phone all day lately... Can't escape >_<#FocusFocus #JIMIN"",""@Jimin I took it ^^""]",168,SNS_M_Jimin_84_02_01,112,SNS_M_Jimin_84_03_01,140,SNS_M_Jimin_84_04_01,"1You're looking at all the reactions to DOPE, huh?",What's so fun?,#Your eyesight's going to get worse!
14051118-2,Jimin,"[""Today seems like a good day to be happy. I'm going to take time for myself today instead of spending it in the practice room >_<#IMeanIt #NotaLie <color=#3a72bd>#TRUE #JIMIN</color>""]",112,SNS_M_Jimin_100_02_01,140,SNS_M_Jimin_100_03_01,168,SNS_M_Jimin_100_04_01,You can't fool me,Where are you going?,Your lyrics were really nice!
14051215-2,Jimin,"[""MBlood Sweat & Tears MV filmed!I really want to see the final cut >_< #JIMIN""]",112,SNS_M_Jimin_110_02_01,140,SNS_M_Jimin_110_03_01,168,SNS_M_Jimin_110_04_01,The MV set was so cool...,The best choreography to date...,*I heard an amazing move was born on-set...
14051303-4,Jimin,"[""nWe all changed into comfy clothes to feel lighter...And now we're on our 13th bag of instant noodles#JIMIN"",""%@Jeongguk alright then one more bite?""]",168,SNS_M_Jimin_113_02_01,112,SNS_M_Jimin_113_03_01,140,SNS_M_Jimin_113_04_01,*Things that taste good don't have calories,%How about black bean instant noodles?,You deserve it for winning!
14051518-2,Jimin,"[""UFAKE LOVE has been decided as the title song for BTS's 3rd full-length album!#JIMIN""]",168,SNS_M_Jimin_132_02_01,112,SNS_M_Jimin_132_03_01,140,SNS_M_Jimin_132_04_01,I'm nervous...,Congrats!!!,The song is amazing
14051613-2,Jimin,"[""[Best Manager Award]BTS's ManagerThis award is hereby presented to the individual named above for being the world's best manager who always shows BTS unlimited love!Presented by BTS""]",112,SNS_M_Jimin_140_02_01,168,SNS_M_Jimin_140_03_01,140,SNS_M_Jimin_140_04_01,I'm gonna cry.,What the hahaha,Feels good!
14060212-2,V,"[""2Whoooosh... Feel the darkness. #Itsabit weirdthere""]",112,SNS_M_V_17_01_02,168,SNS_M_V_17_01_06,140,SNS_M_V_17_01_09,Where is that?,What's that bag?,Feel the darkness...?
14060403-2,V,"["">Our maknae's graduation!!! Love ya #Itookthispic #Secretweapon""]",140,SNS_M_V_30_01_02,168,SNS_M_V_30_01_06,112,SNS_M_V_30_01_10,That's a really good photo!,*Let's take one together to post next time!,Something's missing...
14061017-2,V,"[""{The moon is super bright tonight and I reeeeeally want to do gymansticsWill you all come to the Gymnastics Arena with me?""]",140,SNS_M_V_95_02_01,112,SNS_M_V_95_03_01,168,SNS_M_V_95_04_01,Is that a hint?,Didn't you exercise earlier?,Only gymnastic days ahead
14061102-3,V,"[""['2016' Totally Important Bangtan Day' Report]Planning Committee Chairman: Kim TaehyungSite Booking Manager: Kim TaehyungMC: Kim TaehyungCast: BangtanBenefactor: ManagerMaterials Needed: Love for BangtanT-1 day pit pat pit pat!!! Muahaha"",""What's with that title""]",112,SNS_M_V_96_02_01,168,SNS_M_V_96_03_01,140,SNS_M_V_96_04_01,The materials are too heavy...,"""You have a lot of responsibilities",(I was wondering what you were writing...
14061221-4,V,"[""Okay everyone a.t.t.e.n.t.i.o.nI will now announce this week's important newsMonday and Tuesday nights at 10 PM, tune into the period dramaSunday nights at 11 PM, tune into the jungle variety showPlease gather at the TV before show time!"",""5@Taehyung Taehyung are you sure this isn't a spoiler?""]",112,SNS_M_V_111_02_01,168,SNS_M_V_111_03_01,140,SNS_M_V_111_04_01,We have something scheduled...,"""What should we eat while we watch?",Tell me a spoiler please
14061310-2,V,"[""Hello I am Reporter Tae from Taetae Magazine, live from the <color=#42b7fe>Not Today</color> MV shoot#<color=#3a72bd>NotToday</color> #MVFilminginProgress""]",140,SNS_M_V_115_02_01,168,SNS_M_V_115_03_01,112,SNS_M_V_115_04_01,"It's really cold, huh?","""I heard you guys ran around a lot?",'I heard the filming location is special
14061418-2,V,"[""TWhat do you think of when you see the early morning moon?#Taetae_is_writing_lyrics""]",112,SNS_M_V_126_02_01,168,SNS_M_V_126_03_01,140,SNS_M_V_126_04_01,The bunny on the moon!,"!Your self-written song, Taehyung?",Why aren't you sleeping?
14061524-2,V,"[""Did everyone get the memo for tomorrow's concept photoshoot? Don't forget your tears! If you don't have any, you can borrow mine""]",140,SNS_M_V_135_02_01,168,SNS_M_V_135_03_01,112,SNS_M_V_135_04_01,*I can tell the shoot is gonna be difficult,How can you lend your tears? lol,(We've got plenty of artificial tears lol
14061607-2,V,"[""vFinally filled the rectangle! So satisfying #<color=#3a72bd>IDOL</color> #UlsooAmazing #AwYeah #Deonggideokkungdeororo""]",168,SNS_M_V_139_02_01,140,SNS_M_V_139_03_01,112,SNS_M_V_139_04_01,Genius.,It's exciting.,It's gonna be a hit.
14070413-5,Jungkook,"[""Instant noodles are even better when you use 400 ml of water per bag and you leave the pot lid off! And you can add eggs if you want!"",""-@Jeongguk but it's good fro oyur health?! T_T""]",112,SNS_M_Jungkook_33_01_05,140,SNS_M_Jungkook_33_01_08,168,SNS_M_Jungkook_33_01_12,/Instant noodles instead of a proper meal again?,"Share, please!",Is there anything you can't do?
14070611-4,Jungkook,"[""GCostume alterations complete! Soso cooooool!! I want to do a handstand!"",""'The chicken breast was super effective!""]",112,SNS_M_Jungkook_47_01_04,168,SNS_M_Jungkook_47_01_09,140,SNS_M_Jungkook_47_01_14,So how do you feel?,The outfit looks cool!,!It makes debut day seem so close!
14070816-2,Jungkook,"[""_Make sure not to freak out if you happen to meet a shark!All you have to do is hit its snout.""]",168,SNS_M_Jungkook_73_02_01,112,SNS_M_Jungkook_73_03_01,140,SNS_M_Jungkook_73_04_01,Great tip!,Sharks are scary,That's dangerous
14071003-5,Jungkook,"[""\\I bought a shirt and some slacks but they're too small? Who wants them#FirstComeFirstServe"",""JJeongguk knows how to dress up now! he's all grown up T_T I'm gonna cry...""]",112,SNS_M_Jungkook_86_02_01,140,SNS_M_Jungkook_86_03_01,168,SNS_M_Jungkook_86_04_01,Me! I'll take them!,You know how to shop online?,Don't abandon your plain tees
31064020-2,V,"[""CI've heard that my mouth looks like a square when I smileDoes it?""]",168,SNS_4S_V_19_01_02,112,SNS_4S_V_19_01_05,140,SNS_4S_V_19_01_08,It's square-shaped.,I can't really tell...,It's nice to see you smile.
31074013-3,Jungkook,"[""Tried to take a picture of Manager sleeping but the camera was on selfie modeThat's not drool on your face right Manager?#Todays_Discovery"",""8I saw too wow there was drool all over the desk and just""]",112,SNS_4S_Jungkook_25_02_01,168,SNS_4S_Jungkook_25_03_01,140,SNS_4S_Jungkook_25_04_01,It wasn't drool,Why didn't you wake me up?,")I'm so tired these days, even with sleep!"
34013002-3,Jin,"[""0I've just been hiding my true feelings until now"",""Ah hyung that's scorching""]",140,SNS_3S_Jin_02_01_03,168,SNS_3S_Jin_02_01_06,0,0,'Are you practicing it to show the fans?,Is that for me?!,
34013007-5,Jin,"[""RI cut my bangs with kitchen scissors and now... T_T#bowlcut #disaster #whatdoIdo"",""!@Jeongguk is it really that bad??""]",140,SNS_3S_Jin_07_01_05,140,SNS_3S_Jin_07_01_09,0,0,World's cutest...,Why'd you do that?,
34013008-2,Jin,"[""Eat Jin's Special Rolled Omelette Recipe1. Coat the frying pan with oil2. Add the mixture of egg, salt, and green onion3. (Most important!!!) A good-looking guy uses utensils to roll it up nicely""]",140,SNS_3S_Jin_08_01_02,140,SNS_3S_Jin_08_01_06,0,0,-I don't have the most important ingredient...,This recipe is a bit weird.,
34013014-2,Jin,"[""SIt's alright if others don't see how hard I workbut they must see my handsomeness""]",140,SNS_3S_Jin_14_01_02,140,SNS_3S_Jin_14_01_06,0,0,I know that well!,"You're joking, right...?",
34013017-2,Jin,"[""A really good looking guy was standing in the practice room and it scared me - until I realized it was my reflection. Phew I was so startled...""]",140,SNS_3S_Jin_16_02_01,140,SNS_3S_Jin_16_03_01,0,0,Was the mirror not clean enough?,Startling looks indeed,
34013018-2,Jin,"[""I taught the maknaes something todayA thing of beauty is a joy forever, much like Kim Seok Jin's good looksHow about it? You probably won't forget that huh? @Taehyung @Jeongguk""]",140,SNS_3S_Jin_13_01_02,140,SNS_3S_Jin_13_01_07,0,0,The meaning seems off...,What a perfect example!,
34013019-4,Jin,"["">Here, have a nice picture today tooSeriously so good-looking"",""W@Taehyung if the world's most handsome face agrees does that make Jin hyung rank 0? lol""]",140,SNS_3S_Jin_06_01_04,140,SNS_3S_Jin_06_01_08,0,0,So good-looking T___T,Do you really mean that?,
34013020-2,Jin,"[""]Instead of gifting a bouquet of flowers on a special day, how about a bouquet of Jin instead?""]",140,SNS_3S_Jin_17_02_01,140,SNS_3S_Jin_17_03_01,0,0,One bouquet of Jin please,I like flower bouquets though,
34013021-4,Jin,"[""?I like strawberries but strawberry flavors are a big no no nope"",""*@Hoseok ah, you! You know me way too well!""]",140,SNS_3S_Jin_05_01_04,140,SNS_3S_Jin_05_01_07,0,0,"Oh, I know!",So picky...,
34013022-2,Jin,"[""TI lost but I fought hardI'm proud of myself hahahaha#BasketballBet #MyPoorWallet""]",140,SNS_3S_Jin_09_01_02,140,SNS_3S_Jin_09_01_06,0,0,Who'd you play with?,You lost because you're Jin.,
34013023-2,Jin,"[""It seems like there's a misunderstandingYou might think I'm sick of hearing it all the time, butI still like hearing that I'm handsome""]",140,SNS_3S_Jin_12_01_02,140,SNS_3S_Jin_12_01_06,0,0,You're handsome!!!!!,!You really don't get tired of it?,
34013024-2,Jin,"[""<color=#42b7fe>To</color>. All the people who adore meIt's a blessing to adore me so please consider yourselves honored... I'm only kidding haha""]",140,SNS_3S_Jin_11_01_02,140,SNS_3S_Jin_11_01_06,0,0,!That didn't sound like kidding...,I think of it as a blessing!,
34013027-2,Jin,"["".SeokJinie's autumn feelings #AutumnFishingSpot""]",168,SNS_3S1_Jin_027_02_01,140,SNS_3S1_Jin_027_03_01,0,0,I heard you caught two fish!,I heard you didn't catch any...,
34013028-2,Jin,"[""tHave I mentioned before? That SeokJinie is a #PingPongMaster?Is everyone ready to lose? #PingPongMaster #SeokJinie""]",168,SNS_3S1_Jin_028_02_01,140,SNS_3S1_Jin_028_03_01,0,0,We have to get ready to lose?,Are YOU ready?,
34013029-2,Jin,"["",Have I mentioned that I'm a master of games?""]",168,SNS_3S1_Jin_029_02_01,140,SNS_3S1_Jin_029_03_01,0,0,"Yes, many times",I had no idea,
34014001-2,Jin,"[""gI had a weird dream where I saw hundreds of versions of me reflected in a mirror... What could it mean?""]",168,SNS_4S_Jin_01_01_02,112,SNS_4S_Jin_01_01_06,140,SNS_4S_Jin_01_01_10,Let me look it up.,Does it have to mean anything?,That sounds scary!
34014002-2,Jin,"[""UTime to treat my body better. I'm getting older and need to prioritize being healthy!""]",140,SNS_4S_Jin_03_01_02,168,SNS_4S_Jin_03_01_05,112,SNS_4S_Jin_03_01_08,Are you sick?,I'll buy you supplements.,I've felt the same way lately.
34014011-2,Jin,"[""VI wonder what young me would think of present day me?I would hope that he's proud...""]",168,SNS_4S_Jin_21_01_02,140,SNS_4S_Jin_21_01_06,112,SNS_4S_Jin_21_01_11,I'm sure he'd be proud!,1Do you remember stuff from when you were younger?,Let's work even harder!
34014017-2,Jin,"[""YThe classics are always masterpieces!Especially the fairy tales, those are the most fun""]",168,SNS_4S_Jin_13_01_02,112,SNS_4S_Jin_13_01_06,140,SNS_4S_Jin_13_01_10,"-Those books are all pretty thin, aren't they?",Why the fairy tales?,#Let me know if you read a good one!
34014018-2,Jin,"[""hIt's draining to think that this is all that I can do...Don't overthink it Kim Seok Jin you can do it!""]",112,SNS_4S_Jin_17_01_02,168,SNS_4S_Jin_17_01_06,140,SNS_4S_Jin_17_01_10,What's going on?,Wanna go eat meat?,We're all here for you.
34014019-2,Jin,"[""WMade a late-night snack#Guys_Who_Cook_Are_Beautiful#Totally_DidntBurn_The_FryingPan""]",140,SNS_4S_Jin_27_02_01,112,SNS_4S_Jin_27_03_01,168,SNS_4S_Jin_27_04_01,Looks so good,Seok Jin made a mistake?!,"-Looks like you're working overtime, Seok Jin!"
34014020-2,Jin,"[""RI really... want to go on a drive T_____T#driverslicense #Icandrive #drive #want""]",140,SNS_4S_Jin_09_01_02,168,SNS_4S_Jin_09_01_06,112,SNS_4S_Jin_09_01_10,)I didn't know you had a driver's license!,"I want to go for a drive, too.",$Is something frustrating you lately?
34014021-2,Jin,"[""iSeokJinie's #InChargeOfHandsomeness at the party todayJust by existing #TwinkleTwinkle #Shiny_SeokJinie""]",168,SNS_4S1_Jin_021_02_01,112,SNS_4S1_Jin_021_03_01,140,SNS_4S1_Jin_021_04_01,You surprise me every day,A Seok Jin a day!,#What should I be in charge of then?
34023001-2,Suga,"[""CYou can take a taxi if the bus doesn't come - today's life pro tip.""]",168,SNS_3S_Suga_01_01_02,140,SNS_3S_Suga_01_01_06,0,0,Taxis are expensive...,I can just give you a ride!,
34023002-2,Suga,"[""4Love yaOr as they say in SeoulHey, I love you?""]",140,SNS_3S_Suga_02_01_02,168,SNS_3S_Suga_02_01_06,0,0,This is so sudden!,Who's this for?,
34023003-2,Suga,"[""{I asked JiJinJung (Jimin Seok Jin Jeongguk) for some really moving movies and all they recommended were martial arts movies""]",140,SNS_3S_Suga_03_01_02,140,SNS_3S_Suga_03_01_06,0,0,(Time to enter the world of Wing Chun...?,You didn't like it?,
34023004-2,Suga,"[""I got my palm read for fun and they said I'll make it big in the future.I don't really believe this stuff but... Hahahahaha ^^""]",140,SNS_3S_Suga_04_01_02,140,SNS_3S_Suga_04_01_05,0,0,"""Are you sure you don't believe it?",They're right!,
34023010-2,Suga,"["">I can spin a basketball on my finger until the nail burns away""]",140,SNS_3S_Suga_10_01_02,140,SNS_3S_Suga_10_01_06,0,0,Let's have a contest.,How about you don't...,
34023014-2,Suga,"[""I want to go back to 5th or 6th grade where I first started to listen to music. I remember it would hit me hard when I heard a good song... Now, it's dull. Will I ever experience a moment like that again?""]",140,SNS_3S_Suga_14_01_02,140,SNS_3S_Suga_14_01_07,0,0,&You'll be able to experience it again!,"""How about focusing on the present?",
34023015-2,Suga,"[""Hello, I'm Professor Min Shup ^^""]",140,SNS_3S_Suga_15_01_02,140,SNS_3S_Suga_15_01_06,0,0,"Hi, Professor.",What are you doing?,
34023016-2,Suga,"[""oThe best part of a trip is booking and packing. It's only so-so when you actually go. Is all of life like that?""]",140,SNS_3S_Suga_08_01_02,140,SNS_3S_Suga_08_01_07,0,0,I know what you mean!,I don't feel that way...,
34023017-2,Suga,"[""Tried to get tickets for my favorite international artist's domestic show....Sold out at the speed of light...SUGA is sad :(""]",140,SNS_3S_Suga_11_01_02,140,SNS_3S_Suga_11_01_08,0,0,Leave it to me.,I know that feeling so well.,
34023018-2,Suga,"[""bI asked the restaurant playing this great song to raise the MR by 1db and they thought I was crazy""]",140,SNS_3S_Suga_12_01_02,140,SNS_3S_Suga_12_01_05,0,0,That's understandable...,The waiter was a jerk!,
34023019-2,Suga,"[""sEveryone thinks that all I do is sleep...But they're all wrongI just like feeling the world with my eyes closed""]",140,SNS_3S_Suga_06_01_02,140,SNS_3S_Suga_06_01_07,0,0,Liar,I wanna try!,
34023024-2,Suga,"[""rThere's no skimping out on a bath bomb on a day like this. I'm too precious.- Professor Min SUGA (Born 3/9/1993)""]",140,SNS_3S_Suga_17_02_01,140,SNS_3S_Suga_17_03_01,0,0,What scent's the bath bomb?,Is today a special day?,
34023027-2,Suga,"[""Grand opening of Min SUGA's closet to celebrate the F/W season! A one-of-a-kind anorak perfect for fall. Don't miss out on your opportunity to become the most stylish person this season. Reasonably priced; non-negotiable. Text if interested, go go""]",168,SNS_3S1_Suga_027_02_01,140,SNS_3S1_Suga_027_03_01,0,0,No discounts?,I'll buy it!!,
34023028-2,Suga,"[""FDo you want a guitar-playing Min SUGA? Guitars are charming... or not?""]",140,SNS_3S1_Suga_028_02_01,168,SNS_3S1_Suga_028_03_01,0,0,Yes I do!,"Rap too, please!",
34023029-2,Suga,"[""IThe best instant noodles are #Gamasot_InstantNoodles #Best_InstantNoodles""]",140,SNS_3S1_Suga_029_02_01,168,SNS_3S1_Suga_029_03_01,0,0,*Ginseng chicken soup is best in a gamasot!,%How do gamasot instant noodles taste?,
34024002-4,Suga,"[""?I just woke up. I look super untidy but I'm uploading it anyway"",""5@Jimin He told me to hold up the reflector for him...""]",112,SNS_4S_Suga_03_01_04,168,SNS_4S_Suga_03_01_08,140,SNS_4S_Suga_03_01_12,No way,You look tired?,That's shameless of you.
34024007-2,Suga,"[""/No wonder these clothes seemed a bit big... Heh""]",168,SNS_4S_Suga_13_01_02,140,SNS_4S_Suga_13_01_06,112,SNS_4S_Suga_13_01_10,You're adorable.,It suits you!,Did you lose weight?
34024011-4,Suga,"[""GI want to be reborn as a rock in my next life and do absolutely nothing"",""/@Taehyung what's with the sudden change in tone""]",140,SNS_4S_Suga_21_01_04,168,SNS_4S_Suga_21_01_08,112,SNS_4S_Suga_21_01_12,You'll be a really pretty rock.,(I want to be reborn as a Bangtan member.,!You don't do anything now anyway.
34024012-6,Suga,"[""I took Jeongguk to a lamb skewer place yesterday.It was good...and more expensive than I thought it would be... Jeongguk just how many did you eat"",""3@Yunki That's true... But I get sad if I'm left out""]",140,SNS_4S_Suga_23_01_06,112,SNS_4S_Suga_23_01_09,168,SNS_4S_Suga_23_01_13,Sounds like it was good!,)Go to an all-you-can-eat place next time.,How could you forget about me?
34024014-2,Suga,"[""Whenever I work on music early in the morning it hits me just how hard it is to make good music.I want to continue making even better music.I still have so much to play for the world.""]",140,SNS_4S_Suga_17_01_02,168,SNS_4S_Suga_17_01_07,112,SNS_4S_Suga_17_01_11,Can I be the first to hear?,$Thanks for writing such great music!,Sudden late night thoughts?
34024017-5,Suga,"[""I turn<color=#42b7fe>dark</color>some.... times...Nooo!!The black flame dragon in my left arm.. is trying to go on a rampage...!"",""Who wrote this""]",168,SNS_4S_Suga_15_01_05,140,SNS_4S_Suga_15_01_08,112,SNS_4S_Suga_15_01_11,I didn't know you were so edgy.,I'm gonna screencap this.,"%You left your account logged in, huh?"
34024019-3,Suga,"[""<Piano for the first time in a while. How long has it been..."",""%A brown piano tucked into the corner!""]",112,SNS_4S_Suga_07_01_03,168,SNS_4S_Suga_07_01_07,140,SNS_4S_Suga_07_01_12,What song are you practicing?,"""I wanna see you play piano, Yunki!",You know how to play the piano?
34024020-2,Suga,"[""New hobby: Reading""]",168,SNS_4S_Suga_11_01_02,112,SNS_4S_Suga_11_01_07,140,SNS_4S_Suga_11_01_11,What book are you reading?,Recommend a book to me!,You look cool reading.
34024021-2,Suga,"[""8Hello this is SUGA, and I'm in charge of [_____] for BTS""]",168,SNS_4S1_Suga_021_02_01,112,SNS_4S1_Suga_021_03_01,140,SNS_4S1_Suga_021_04_01,Cuteness,Being a meowmeow,Respect
34033001-2,J-Hope,"[""qI'm not the kind old Hoseok of the past!!! I'm going to be a tough and scary Hoseoki#bye_to_Hoseok_of_yesterday""]",140,SNS_3S_J-hope_01_01_02,168,SNS_3S_J-hope_01_01_08,0,0,I like kind Hoseok...,"Whoa, scary!",
